equipment_config_id,equipment_config_name,equipment_class,has_simultaneous_heat_cool_hr,has_cooling,equipment_type,equipment_primary_energy_source,load_share_primary,min_temp_primary,equipment_secondary_energy_source,min_temp_secondary,heating_cap_neg_45_primary,heating_cap_neg_40_primary,heating_cap_neg_35_primary,heating_cap_neg_30_primary,heating_cap_neg_25_primary,heating_cap_neg_20_primary,heating_cap_neg_15_primary,heating_cap_neg_10_primary,heating_cap_neg_8.3_primary,heating_cap_neg_5_primary,heating_cap_0_primary,heating_cap_5_primary,heating_cap_8.3_primary,heating_cap_10_primary,heating_cap_15_primary,heating_cap_18_primary,heating_cap_20_primary,heating_cap_25_primary,heating_cap_30_primary,heating_cap_35_primary,heating_cap_40_primary,heating_cap_45_primary,heating_cop_neg_45_primary,heating_cop_neg_40_primary,heating_cop_neg_35_primary,heating_cop_neg_30_primary,heating_cop_neg_25_primary,heating_cop_neg_20_primary,heating_cop_neg_15_primary,heating_cop_neg_10_primary,heating_cop_neg_8.3_primary,heating_cop_neg_5_primary,heating_cop_0_primary,heating_cop_5_primary,heating_cop_8.3_primary,heating_cop_10_primary,heating_cop_15_primary,heating_cop_18_primary,heating_cop_20_primary,heating_cop_25_primary,heating_cop_30_primary,heating_cop_35_primary,heating_cop_40_primary,heating_cop_45_primary,heating_cap_neg_45_secondary,heating_cap_neg_40_secondary,heating_cap_neg_35_secondary,heating_cap_neg_30_secondary,heating_cap_neg_25_secondary,heating_cap_neg_20_secondary,heating_cap_neg_15_secondary,heating_cap_neg_10_secondary,heating_cap_neg_8.3_secondary,heating_cap_neg_5_secondary,heating_cap_0_secondary,heating_cap_5_secondary,heating_cap_8.3_secondary,heating_cap_10_secondary,heating_cap_15_secondary,heating_cap_18_secondary,heating_cap_20_secondary,heating_cap_25_secondary,heating_cap_30_secondary,heating_cap_35_secondary,heating_cap_40_secondary,heating_cap_45_secondary,heating_cop_neg_45_secondary,heating_cop_neg_40_secondary,heating_cop_neg_35_secondary,heating_cop_neg_30_secondary,heating_cop_neg_25_secondary,heating_cop_neg_20_secondary,heating_cop_neg_15_secondary,heating_cop_neg_10_secondary,heating_cop_neg_8.3_secondary,heating_cop_neg_5_secondary,heating_cop_0_secondary,heating_cop_5_secondary,heating_cop_8.3_secondary,heating_cop_10_secondary,heating_cop_15_secondary,heating_cop_18_secondary,heating_cop_20_secondary,heating_cop_25_secondary,heating_cop_30_secondary,heating_cop_35_secondary,heating_cop_40_secondary,heating_cop_45_secondary,cooling_cap_5_primary,cooling_cap_8.3_primary,cooling_cap_10_primary,cooling_cap_15_primary,cooling_cap_18_primary,cooling_cap_20_primary,cooling_cap_25_primary,cooling_cap_30_primary,cooling_cap_35_primary,cooling_cap_40_primary,cooling_cap_45_primary,cooling_cop_5_primary,cooling_cop_8.3_primary,cooling_cop_10_primary,cooling_cop_15_primary,cooling_cop_18_primary,cooling_cop_20_primary,cooling_cop_25_primary,cooling_cop_30_primary,cooling_cop_35_primary,cooling_cop_40_primary,cooling_cop_45_primary
config_hvac_res_016,ashp w electric backup,residential hvac,0,1,all electric hp,electricity,Varies,-20,electricity,-45,0,0,0,0,0,0.4,0.5,0.6,0.634,0.7,0.8,0.9,1,1,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,0,0,0,0,0,1.85,2,2.15,2.235,2.4,2.75,3.15,3.5,3.6,3.65,3.65,3.65,3.65,3.65,3.45,3.1,2.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.45,3.1,2.65
config_hvac_res_017,ashp w propane backup,residential hvac,0,1,hybrid hp,electricity,Varies,-20,propane,-45,0,0,0,0,0,0.4,0.5,0.6,0.634,0.7,0.8,0.9,1,1,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,0,0,0,0,0,1.85,2,2.15,2.235,2.4,2.75,3.15,3.5,3.6,3.65,3.65,3.65,3.65,3.65,3.45,3.1,2.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.45,3.1,2.65
config_hvac_res_018,ashp w wood backup,residential hvac,0,1,hybrid hp,electricity,Varies,-20,wood,-45,0,0,0,0,0,0.4,0.5,0.6,0.634,0.7,0.8,0.9,1,1,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,0,0,0,0,0,1.85,2,2.15,2.235,2.4,2.75,3.15,3.5,3.6,3.65,3.65,3.65,3.65,3.65,3.45,3.1,2.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.45,3.1,2.65
config_hvac_res_019,ccashp w oil backup,residential hvac,0,1,hybrid hp,electricity,Varies,-25,oil,-99,0,0,0,0,0.7,0.77,0.85,0.88,0.8902,0.91,0.94,0.98,1,1.01,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,0,0,0,0,2.25,2.25,2.4,2.55,2.635,2.8,3,3.4,3.75,3.8,3.9,3.95,3.95,3.95,3.95,3.6,3.25,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.6,3.25,2.8
config_hvac_res_020,ccashp w gas backup,residential hvac,0,1,hybrid hp,electricity,Varies,-25,gas,-99,0,0,0,0,0.7,0.77,0.85,0.88,0.8902,0.91,0.94,0.98,1,1.01,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,0,0,0,0,2.25,2.25,2.4,2.55,2.635,2.8,3,3.4,3.75,3.8,3.9,3.95,3.95,3.95,3.95,3.6,3.25,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.6,3.25,2.8
config_hvac_res_021,ccashp w electric backup,residential hvac,0,1,all electric hp,electricity,Varies,-25,electricity,-99,0,0,0,0,0.7,0.77,0.85,0.88,0.8902,0.91,0.94,0.98,1,1.01,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,0,0,0,0,2.25,2.25,2.4,2.55,2.635,2.8,3,3.4,3.75,3.8,3.9,3.95,3.95,3.95,3.95,3.6,3.25,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.6,3.25,2.8
config_hvac_res_022,ccashp w propane backup,residential hvac,0,1,hybrid hp,electricity,Varies,-25,propane,-99,0,0,0,0,0.7,0.77,0.85,0.88,0.8902,0.91,0.94,0.98,1,1.01,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,0,0,0,0,2.25,2.25,2.4,2.55,2.635,2.8,3,3.4,3.75,3.8,3.9,3.95,3.95,3.95,3.95,3.6,3.25,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.6,3.25,2.8
config_hvac_res_023,ccashp w wood backup,residential hvac,0,1,hybrid hp,electricity,Varies,-25,wood,-99,0,0,0,0,0.7,0.77,0.85,0.88,0.8902,0.91,0.94,0.98,1,1.01,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,0,0,0,0,2.25,2.25,2.4,2.55,2.635,2.8,3,3.4,3.75,3.8,3.9,3.95,3.95,3.95,3.95,3.6,3.25,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.95,0.87,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.6,3.25,2.8
config_hvac_res_024,oil w electric backup wo AC,residential hvac,0,0,non-hp dual fuel,oil,0.5,-45,electricity,-45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_025,gas w electric backup wo AC,residential hvac,0,0,non-hp dual fuel,gas,0.5,-45,electricity,-45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
