climate_zone,dwelling_type,other_electricity_annual,other_natural_gas_annual
CZ_5,apt,10.739340167917788,0.22258363835566553
CZ_5,mob,11.375040665546509,0.2225836383556656
CZ_5,row,12.677196614647485,0.22258363835566558
CZ_5,sfd,14.419595286890894,0.22258363835566558
CZ_6,apt,10.739340167917788,0.22258363835566558
CZ_6,mob,11.375040665546509,0.22258363835566564
CZ_6,row,12.677196614647485,0.22258363835566564
CZ_6,sfd,14.419595286890894,0.22258363835566564
CZ_7A,apt,10.739340167917787,0.22258363835566553
CZ_7A,mob,11.375040665546509,0.22258363835566553
CZ_7A,row,12.677196614647485,0.22258363835566564
CZ_7A,sfd,14.419595286890894,0.22258363835566558
