climate_zone,dwelling_type,population_share
CZ_5,apt,0.3477597088020974
CZ_5,mob,0.0017808045660127115
CZ_5,row,0.16534427389498776
CZ_5,sfd,0.4851152127369021
CZ_6,apt,0.19349264585007547
CZ_6,mob,0.009230618315603496
CZ_6,row,0.14645616156977642
CZ_6,sfd,0.6508205742645445
CZ_7A,apt,0.24548243433902203
CZ_7A,mob,0.013491190809722494
CZ_7A,row,0.0950960751530123
CZ_7A,sfd,0.6459302996982432
