climate_zone,hvac_system,heating_system_proportion_gas,heating_system_proportion_electric,heating_system_proportion_oil,heating_system_proportion_propane,heating_system_proportion_wood,heating_system_efficiency_gas,heating_system_efficiency_electric,heating_system_efficiency_oil,heating_system_efficiency_propane,heating_system_efficiency_wood,cooling_system_efficiency
CZ_5,ashp w electric backup,0.0,1.0,0.0,0.0,0.0,0.0,2.4958672839506173,0.0,0.0,0.0,3.1614942528735632
CZ_5,ashp w gas backup,0.0,1.0,0.0,0.0,0.0,0.0,2.4958672839506173,0.0,0.0,0.0,3.1614942528735632
CZ_5,ashp w oil backup,0.0,1.0,0.0,0.0,0.0,0.0,2.4958672839506173,0.0,0.0,0.0,3.1614942528735632
CZ_5,ashp w propane backup,0.0,1.0,0.0,0.0,0.0,0.0,2.4958672839506173,0.0,0.0,0.0,3.1614942528735632
CZ_5,ashp w wood backup,0.0,1.0,0.0,0.0,0.0,0.0,2.4958672839506173,0.0,0.0,0.0,3.1614942528735632
CZ_5,ccashp w electric backup,0.0,1.0,0.0,0.0,0.0,0.0,2.8455277777777774,0.0,0.0,0.0,3.3477011494252875
CZ_5,ccashp w gas backup,0.0,1.0,0.0,0.0,0.0,0.0,2.8455277777777774,0.0,0.0,0.0,3.3477011494252875
CZ_5,ccashp w oil backup,0.0,1.0,0.0,0.0,0.0,0.0,2.8455277777777774,0.0,0.0,0.0,3.3477011494252875
CZ_5,ccashp w propane backup,0.0,1.0,0.0,0.0,0.0,0.0,2.8455277777777774,0.0,0.0,0.0,3.3477011494252875
CZ_5,ccashp w wood backup,0.0,1.0,0.0,0.0,0.0,0.0,2.8455277777777774,0.0,0.0,0.0,3.3477011494252875
CZ_5,condensing gas w AC,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,2.811494252873563
CZ_5,condensing gas wo AC,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0
CZ_5,electric resistance w AC,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.811494252873563
CZ_5,electric resistance wo AC,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CZ_5,gshp,0.0,1.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,4.0
CZ_5,non-condensing gas w AC,1.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,2.811494252873563
CZ_5,non-condensing gas wo AC,1.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,1.0
CZ_5,oil w AC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,2.811494252873563
CZ_5,oil wo AC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,1.0
CZ_5,propane w AC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,2.811494252873563
CZ_5,propane wo AC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,1.0
CZ_5,wood w AC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.811494252873563
CZ_5,wood wo AC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0
CZ_6,ashp w electric backup,0.0,1.0,0.0,0.0,0.0,0.0,2.1301666666666668,0.0,0.0,0.0,3.1614942528735632
CZ_6,ashp w gas backup,0.2511327253974613,0.7488672746025387,0.0,0.0,0.0,0.9,2.3731525,0.0,0.0,0.0,3.1614942528735632
CZ_6,ashp w oil backup,0.0,0.7488672746025387,0.2511327253974613,0.0,0.0,0.0,2.3731525,0.7999999999999999,0.0,0.0,3.1614942528735632
